TRIGGER_NUM µ_Z_H06 PI_50% PI_90% µ_Z_L08 PI_50% PI_90% µ_Z_B10 PI_50% PI_90%
105 0.47 [0.31,0.59] [0.18,0.91] 0.45 [0.38,0.51] [0.30,0.65] 0.72 [0.44,0.92] [0.24,1.43]
107 1.42 [1.03,1.72] [0.71,2.43] 2.05 [1.76,2.33] [1.35,2.78] 1.92 [1.32,2.37] [0.86,3.49]
109 1.60 [1.14,1.92] [0.78,2.83] 1.88 [1.65,2.09] [1.32,2.51] 3.05 [2.22,3.76] [1.40,5.00]
110 2.16 [1.55,2.66] [1.02,3.69] 3.07 [2.71,3.43] [2.14,3.96] 3.20 [2.40,3.89] [1.57,5.13]
111 2.20 [1.56,2.71] [1.01,3.80] 2.90 [2.58,3.23] [2.05,3.76] 3.66 [2.79,4.33] [1.82,5.90]
114 1.82 [1.28,2.22] [0.86,3.19] 2.47 [2.15,2.78] [1.69,3.31] 3.00 [2.18,3.69] [1.37,4.94]
121 2.07 [1.48,2.53] [0.97,3.61] 2.65 [2.34,2.93] [1.86,3.47] 3.52 [2.67,4.19] [1.75,5.66]
130 1.52 [1.09,1.82] [0.75,2.67] 1.82 [1.59,2.01] [1.27,2.40] 2.85 [2.04,3.55] [1.28,4.73]
133 1.95 [1.40,2.39] [0.94,3.37] 2.66 [2.34,2.95] [1.85,3.47] 3.08 [2.28,3.76] [1.48,4.97]
143 0.55 [0.36,0.68] [0.22,1.04] 0.43 [0.36,0.48] [0.29,0.62] 0.96 [0.63,1.19] [0.37,1.82]
148 1.20 [0.89,1.43] [0.58,2.06] 1.47 [1.25,1.65] [0.99,2.02] 1.95 [1.29,2.43] [0.81,3.63]
160 0.91 [0.68,1.08] [0.42,1.52] 1.01 [0.90,1.11] [0.72,1.32] 1.37 [0.92,1.69] [0.57,2.59]
171 1.46 [1.05,1.76] [0.71,2.51] 1.94 [1.70,2.16] [1.33,2.56] 2.35 [1.62,2.95] [1.02,4.12]
179 0.65 [0.46,0.80] [0.27,1.13] 0.69 [0.59,0.77] [0.46,0.95] 0.89 [0.59,1.10] [0.34,1.70]
